path,label,broad_group,polarization,source,magnification,domain
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩2-6.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩2-7.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩2-8.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩3-1.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩3-2.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩3-3.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩3-4.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩3-5.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩3-6.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩3-7.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩3-8.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩1-1.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩1-2.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩1-3.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩1-4.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩1-5.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩1-6.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩1-7.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩1-8.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩2-1.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩2-2.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩2-3.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩2-4.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩2-5.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩2-6.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩2-7.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩2-8.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩3-1.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩3-2.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩3-3.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩3-4.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩3-5.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩3-6.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩3-7.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变11白云母片岩3-8.jpg,白云母片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩1-1.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩1-2.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩1-3.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩1-4.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩1-5.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩1-6.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩1-7.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩1-8.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩2-1.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩2-2.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩2-3.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩2-4.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩2-5.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩2-6.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩2-7.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩2-8.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩3-1.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩3-2.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩3-3.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩3-4.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩3-5.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩3-6.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩3-7.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变12蓝闪石片岩3-8.jpg,蓝闪石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩1-1.jpg,石榴十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩1-2.jpg,石榴十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩1-3.jpg,石榴十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩1-4.jpg,石榴十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩1-5.jpg,石榴十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩1-6.jpg,石榴十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩1-7.jpg,石榴十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩1-8.jpg,石榴十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩2-1.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩2-2.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩2-3.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩2-4.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩2-5.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩2-6.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩2-7.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩2-8.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩3-1.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩3-2.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩3-3.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩3-4.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩3-5.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩3-6.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩3-7.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变13十字石片岩3-8.jpg,十字石片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩1-1.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩1-2.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩1-3.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩1-4.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩1-5.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩1-6.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩1-7.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩1-8.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩2-1.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩2-2.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩2-3.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩2-4.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩2-5.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩2-6.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩2-7.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩2-8.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩3-1.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩3-2.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩3-3.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩3-4.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩3-5.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩3-6.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩3-7.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变14矽线石片麻岩3-8.jpg,矽线石片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩1-1.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩1-2.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩1-3.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩1-4.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩1-5.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩1-6.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩1-7.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩1-8.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩2-1.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩2-2.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩2-3.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩2-4.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩2-5.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩2-6.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩2-7.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩2-8.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩3-1.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩3-2.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩3-3.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩3-4.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩3-5.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩3-6.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩3-7.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变15角闪斜长片麻岩3-8.jpg,黑云角闪斜长片麻岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变16变粒岩1-1.jpg,变粒岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变16变粒岩1-2.jpg,变粒岩,metamorphic,unknown,NJU,unknown,NJU
